file,total,askq,oauth,restart,secret,install,namespace,score,grade,nonInteractiveMode,blockers
commands/lesson/check-setup.md,14,7,0,2,0,0,5,70,B,incompatible,AskQuestion×7; Restart×2; Namespace×5; declared:incompatible
commands/lesson/setup-bigquery.md,32,15,15,0,1,1,0,70,B,incompatible,AskQuestion×15; OAuth×15; Secret×1; Install×1; declared:incompatible
commands/lesson/setup-clasp.md,26,17,8,0,0,0,1,70,B,incompatible,AskQuestion×17; OAuth×8; Namespace×1; declared:incompatible
commands/lesson/setup-elevenlabs.md,36,15,2,0,19,0,0,70,B,incompatible,AskQuestion×15; OAuth×2; Secret×19; declared:incompatible
commands/lesson/setup-extensions.md,13,11,0,1,0,0,1,70,B,incompatible,AskQuestion×11; Restart×1; Namespace×1; declared:incompatible
commands/lesson/setup-fal.md,34,15,3,0,16,0,0,70,B,incompatible,AskQuestion×15; OAuth×3; Secret×16; declared:incompatible
commands/lesson/setup-gemini.md,31,13,1,0,17,0,0,70,B,incompatible,AskQuestion×13; OAuth×1; Secret×17; declared:incompatible
commands/lesson/setup-github.md,32,19,12,0,0,0,1,70,B,incompatible,AskQuestion×19; OAuth×12; Namespace×1; declared:incompatible
commands/lesson/setup-gogcli.md,37,14,17,0,0,6,0,70,B,incompatible,AskQuestion×14; OAuth×17; Install×6; declared:incompatible
commands/lesson/setup-line-harness.md,16,0,2,1,11,0,2,70,B,incompatible,OAuth×2; Restart×1; Secret×11; Namespace×2; declared:incompatible
commands/lesson/setup-notion.md,34,20,2,1,8,3,0,70,B,incompatible,AskQuestion×20; OAuth×2; Restart×1; Secret×8; Install×3; declared:incompatible
commands/lesson/setup-pencil.md,17,16,0,1,0,0,0,70,B,incompatible,AskQuestion×16; Restart×1; declared:incompatible
commands/lesson/setup-remotion.md,12,10,1,0,0,1,0,70,B,incompatible,AskQuestion×10; OAuth×1; Install×1; declared:incompatible
commands/lesson/setup-slack.md,37,16,17,0,4,0,0,70,B,incompatible,AskQuestion×16; OAuth×17; Secret×4; declared:incompatible
commands/lesson/setup-start.md,20,10,3,0,0,1,6,70,B,incompatible,AskQuestion×10; OAuth×3; Install×1; Namespace×6; declared:incompatible
commands/lesson/setup-typefully.md,34,15,1,0,17,0,1,70,B,incompatible,AskQuestion×15; OAuth×1; Secret×17; Namespace×1; declared:incompatible
commands/lesson/setup-vercel.md,34,16,12,0,0,4,2,70,B,incompatible,AskQuestion×16; OAuth×12; Install×4; Namespace×2; declared:incompatible
commands/lesson/setup-x-api.md,32,15,1,0,15,0,1,70,B,incompatible,AskQuestion×15; OAuth×1; Secret×15; Namespace×1; declared:incompatible
commands/lesson/start-0-1.md,8,6,2,0,0,0,0,70,B,incompatible,AskQuestion×6; OAuth×2; declared:incompatible
commands/lesson/start-0-2.md,5,4,0,1,0,0,0,70,B,incompatible,AskQuestion×4; Restart×1; declared:incompatible
commands/lesson/start-0-7.md,14,8,2,0,0,3,1,70,B,incompatible,AskQuestion×8; OAuth×2; Install×3; Namespace×1; declared:incompatible
commands/lesson/start-10-1.md,25,23,2,0,0,0,0,70,B,incompatible,AskQuestion×23; OAuth×2; declared:incompatible
commands/lesson/start-11-2.md,24,23,1,0,0,0,0,70,B,incompatible,AskQuestion×23; OAuth×1; declared:incompatible
commands/lesson/start-11-3.md,10,9,1,0,0,0,0,70,B,incompatible,AskQuestion×9; OAuth×1; declared:incompatible
commands/lesson/start-12-1.md,32,16,14,0,0,2,0,70,B,incompatible,AskQuestion×16; OAuth×14; Install×2; declared:incompatible
commands/lesson/start-12-6.md,17,16,1,0,0,0,0,70,B,incompatible,AskQuestion×16; OAuth×1; declared:incompatible
commands/lesson/start-13-2.md,15,14,1,0,0,0,0,70,B,incompatible,AskQuestion×14; OAuth×1; declared:incompatible
commands/lesson/start-13-4.md,17,16,1,0,0,0,0,70,B,incompatible,AskQuestion×16; OAuth×1; declared:incompatible
commands/lesson/start-13-5.md,26,14,12,0,0,0,0,70,B,incompatible,AskQuestion×14; OAuth×12; declared:incompatible
commands/lesson/start-16-1.md,15,10,3,0,0,2,0,70,B,incompatible,AskQuestion×10; OAuth×3; Install×2; declared:incompatible
commands/lesson/start-16-2.md,10,8,1,0,1,0,0,70,B,incompatible,AskQuestion×8; OAuth×1; Secret×1; declared:incompatible
commands/lesson/start-16-3.md,9,8,1,0,0,0,0,70,B,incompatible,AskQuestion×8; OAuth×1; declared:incompatible
commands/lesson/start-16-4.md,7,6,1,0,0,0,0,70,B,incompatible,AskQuestion×6; OAuth×1; declared:incompatible
commands/lesson/start-16-5.md,9,8,1,0,0,0,0,70,B,incompatible,AskQuestion×8; OAuth×1; declared:incompatible
commands/lesson/start-16-6.md,13,8,1,0,1,3,0,70,B,incompatible,AskQuestion×8; OAuth×1; Secret×1; Install×3; declared:incompatible
commands/lesson/start-16-7.md,12,6,1,0,5,0,0,70,B,incompatible,AskQuestion×6; OAuth×1; Secret×5; declared:incompatible
commands/lesson/start-16-8.md,7,6,1,0,0,0,0,70,B,incompatible,AskQuestion×6; OAuth×1; declared:incompatible
commands/lesson/start-17-4.md,18,17,1,0,0,0,0,70,B,incompatible,AskQuestion×17; OAuth×1; declared:incompatible
commands/lesson/start-18-13.md,7,5,2,0,0,0,0,70,B,incompatible,AskQuestion×5; OAuth×2; declared:incompatible
commands/lesson/start-18-4.md,15,14,1,0,0,0,0,70,B,incompatible,AskQuestion×14; OAuth×1; declared:incompatible
commands/lesson/start-18-5.md,8,7,1,0,0,0,0,70,B,incompatible,AskQuestion×7; OAuth×1; declared:incompatible
commands/lesson/start-18-9.md,7,4,3,0,0,0,0,70,B,incompatible,AskQuestion×4; OAuth×3; declared:incompatible
commands/lesson/start-19-2.md,24,23,1,0,0,0,0,70,B,incompatible,AskQuestion×23; OAuth×1; declared:incompatible
commands/lesson/start-4-1.md,20,12,6,0,0,2,0,70,B,incompatible,AskQuestion×12; OAuth×6; Install×2; declared:incompatible
commands/lesson/start-6-3.md,24,23,0,1,0,0,0,70,B,incompatible,AskQuestion×23; Restart×1; declared:incompatible
commands/lesson/start-7-6.md,17,16,0,1,0,0,0,70,B,incompatible,AskQuestion×16; Restart×1; declared:incompatible
