date,product_id,category,amount,quantity,region,customer_id
2025-09-29,P033,家電,3840,3,名古屋,C0066
2025-09-04,P019,食品,38400,3,大阪,C0120
2025-02-08,P010,ファッション,1960,2,広島,C0143
2025-07-07,P006,美容,31920,4,東京,C0068
2025-10-02,P008,ガジェット,5120,4,仙台,C0173
2025-12-11,P017,家電,9900,5,広島,C0164
2025-07-10,P007,雑貨,39600,2,横浜,C0007
2025-11-14,P036,書籍,7440,3,福岡,C0166
2025-02-02,P041,家電,5120,4,札幌,C0167
2025-07-29,P008,ガジェット,2560,2,東京,C0010
2025-06-05,P032,ガジェット,3980,1,大阪,C0061
2025-10-03,P009,家電,13920,4,横浜,C0095
2025-12-10,P048,ガジェット,39900,5,広島,C0151
2025-03-21,P027,食品,3480,1,横浜,C0158
2025-07-28,P018,ファッション,5980,1,仙台,C0056
2025-08-16,P029,スポーツ,5960,2,仙台,C0026
2025-12-18,P024,ガジェット,7900,5,仙台,C0016
2025-07-23,P018,ファッション,11960,2,大阪,C0117
2025-02-16,P043,食品,25600,2,東京,C0013
2025-06-20,P016,ガジェット,9960,2,福岡,C0018
2025-10-11,P014,美容,9900,5,福岡,C0060
2025-06-18,P050,ファッション,5960,2,東京,C0071
2025-03-16,P009,家電,17400,5,札幌,C0045
2025-02-26,P043,食品,12800,1,名古屋,C0004
2025-07-03,P016,ガジェット,24900,5,仙台,C0005
2025-03-31,P017,家電,1980,1,名古屋,C0190
2025-08-04,P034,ファッション,19800,1,大阪,C0122
2025-08-18,P050,ファッション,8940,3,大阪,C0116
2025-09-15,P015,雑貨,39900,5,東京,C0187
2025-12-04,P034,ファッション,59400,3,横浜,C0165
2025-01-16,P004,書籍,7920,4,広島,C0110
2025-12-18,P007,雑貨,79200,4,横浜,C0019
2025-02-11,P021,スポーツ,64000,5,名古屋,C0017
2025-03-06,P018,ファッション,29900,5,仙台,C0098
2025-11-02,P034,ファッション,59400,3,横浜,C0130
2025-11-06,P028,書籍,2980,1,大阪,C0168
2025-11-30,P050,ファッション,14900,5,福岡,C0111
2025-08-20,P015,雑貨,31920,4,仙台,C0117
2025-07-24,P027,食品,3480,1,仙台,C0110
2025-06-10,P043,食品,38400,3,仙台,C0040
2025-12-18,P031,雑貨,980,1,大阪,C0022
2025-02-17,P028,書籍,2980,1,仙台,C0034
2025-10-12,P004,書籍,9900,5,仙台,C0172
2025-03-04,P027,食品,10440,3,広島,C0185
2025-01-27,P019,食品,64000,5,札幌,C0091
2025-02-23,P037,スポーツ,39900,5,福岡,C0040
2025-12-03,P031,雑貨,1960,2,大阪,C0090
2025-10-12,P024,ガジェット,1580,1,札幌,C0147
2025-04-26,P028,書籍,14900,5,東京,C0156
2025-12-03,P045,スポーツ,5940,3,東京,C0047
2025-05-20,P045,スポーツ,5940,3,仙台,C0090
2025-01-04,P012,書籍,9960,2,広島,C0018
2025-03-14,P048,ガジェット,7980,1,大阪,C0192
2025-09-29,P014,美容,7920,4,広島,C0117
2025-06-24,P011,食品,5940,3,札幌,C0185
2025-06-16,P050,ファッション,14900,5,大阪,C0014
2025-03-21,P011,食品,9900,5,東京,C0173
2025-02-11,P018,ファッション,23920,4,広島,C0125
2025-11-07,P029,スポーツ,11920,4,札幌,C0056
2025-09-20,P008,ガジェット,3840,3,広島,C0029
2025-05-26,P044,書籍,6400,5,横浜,C0135
2025-12-08,P020,書籍,980,1,福岡,C0102
2025-11-03,P004,書籍,1980,1,福岡,C0078
2025-04-19,P050,ファッション,5960,2,札幌,C0075
2025-06-17,P008,ガジェット,1280,1,横浜,C0192
2025-08-09,P012,書籍,9960,2,広島,C0137
2025-12-27,P015,雑貨,39900,5,仙台,C0019
2025-07-23,P048,ガジェット,7980,1,広島,C0005
2025-08-24,P005,スポーツ,29400,3,広島,C0147
2025-07-27,P046,美容,5120,4,札幌,C0030
2025-07-27,P002,ファッション,2940,3,名古屋,C0159
2025-08-24,P045,スポーツ,5940,3,大阪,C0112
2025-02-24,P016,ガジェット,19920,4,広島,C0135
2025-02-10,P026,ファッション,3840,3,仙台,C0057
2025-06-20,P050,ファッション,5960,2,大阪,C0131
2025-11-21,P008,ガジェット,6400,5,福岡,C0199
2025-06-28,P023,雑貨,5960,2,福岡,C0027
2025-03-16,P017,家電,3960,2,名古屋,C0155
2025-03-20,P049,家電,2980,1,名古屋,C0198
2025-11-18,P032,ガジェット,15920,4,横浜,C0175
2025-10-17,P042,ファッション,39900,5,仙台,C0161
2025-06-11,P010,ファッション,3920,4,大阪,C0121
2025-08-15,P041,家電,3840,3,札幌,C0152
2025-01-29,P023,雑貨,14900,5,大阪,C0080
2025-08-25,P029,スポーツ,2980,1,東京,C0095
2025-05-27,P005,スポーツ,9800,1,広島,C0119
2025-10-25,P036,書籍,2480,1,横浜,C0147
2025-11-30,P013,スポーツ,2940,3,横浜,C0129
2025-03-19,P004,書籍,7920,4,大阪,C0088
2025-02-13,P033,家電,2560,2,東京,C0064
2025-12-29,P029,スポーツ,11920,4,名古屋,C0094
2025-07-10,P019,食品,51200,4,広島,C0199
2025-06-23,P044,書籍,6400,5,東京,C0162
2025-11-28,P022,美容,9800,1,仙台,C0025
2025-10-13,P044,書籍,5120,4,札幌,C0065
2025-12-03,P039,雑貨,5960,2,仙台,C0021
2025-10-26,P043,食品,25600,2,仙台,C0080
2025-12-02,P045,スポーツ,7920,4,名古屋,C0153
2025-12-29,P006,美容,23940,3,広島,C0165
2025-06-18,P009,家電,17400,5,大阪,C0166
2025-12-10,P028,書籍,14900,5,仙台,C0005
2025-07-05,P020,書籍,1960,2,福岡,C0088
2025-09-06,P013,スポーツ,1960,2,名古屋,C0040
2025-02-09,P019,食品,12800,1,東京,C0170
2025-06-22,P050,ファッション,14900,5,名古屋,C0153
2025-07-12,P010,ファッション,1960,2,名古屋,C0178
2025-11-16,P011,食品,7920,4,東京,C0106
2025-07-06,P044,書籍,2560,2,横浜,C0157
2025-05-26,P049,家電,11920,4,福岡,C0137
2025-05-03,P020,書籍,3920,4,福岡,C0095
2025-12-14,P037,スポーツ,31920,4,横浜,C0197
2025-05-25,P050,ファッション,11920,4,広島,C0042
2025-04-13,P039,雑貨,5960,2,札幌,C0014
2025-11-25,P031,雑貨,2940,3,大阪,C0183
2025-09-22,P008,ガジェット,3840,3,大阪,C0196
2025-03-24,P018,ファッション,23920,4,名古屋,C0112
2025-02-16,P015,雑貨,31920,4,仙台,C0007
2025-08-01,P004,書籍,7920,4,仙台,C0061
2025-07-17,P006,美容,23940,3,福岡,C0008
2025-06-13,P007,雑貨,59400,3,名古屋,C0036
2025-01-20,P019,食品,51200,4,名古屋,C0195
