file,total,askq,oauth,restart,secret,install,namespace,score,grade,nonInteractiveMode,blockers
commands/lesson/check-setup.md,14,7,0,2,0,0,5,0,D,,AskQuestion×7; Restart×2; Namespace×5
commands/lesson/setup-bigquery.md,32,15,15,0,1,1,0,0,D,,AskQuestion×15; OAuth×15; Secret×1; Install×1
commands/lesson/setup-clasp.md,26,17,8,0,0,0,1,0,D,,AskQuestion×17; OAuth×8; Namespace×1
commands/lesson/setup-elevenlabs.md,36,15,2,0,19,0,0,0,D,,AskQuestion×15; OAuth×2; Secret×19
commands/lesson/setup-extensions.md,13,11,0,1,0,0,1,0,D,,AskQuestion×11; Restart×1; Namespace×1
commands/lesson/setup-fal.md,34,15,3,0,16,0,0,0,D,,AskQuestion×15; OAuth×3; Secret×16
commands/lesson/setup-gemini.md,31,13,1,0,17,0,0,0,D,,AskQuestion×13; OAuth×1; Secret×17
commands/lesson/setup-github.md,32,19,12,0,0,0,1,0,D,,AskQuestion×19; OAuth×12; Namespace×1
commands/lesson/setup-gogcli.md,37,14,17,0,0,6,0,0,D,,AskQuestion×14; OAuth×17; Install×6
commands/lesson/setup-notion.md,34,20,2,1,8,3,0,0,D,,AskQuestion×20; OAuth×2; Restart×1; Secret×8; Install×3
commands/lesson/setup-pencil.md,17,16,0,1,0,0,0,0,D,,AskQuestion×16; Restart×1
commands/lesson/setup-security.md,17,9,0,0,6,0,2,0,D,,AskQuestion×9; Secret×6; Namespace×2
commands/lesson/setup-slack.md,37,16,17,0,4,0,0,0,D,,AskQuestion×16; OAuth×17; Secret×4
commands/lesson/setup-start.md,20,10,3,0,0,1,6,0,D,,AskQuestion×10; OAuth×3; Install×1; Namespace×6
commands/lesson/setup-typefully.md,34,15,1,0,17,0,1,0,D,,AskQuestion×15; OAuth×1; Secret×17; Namespace×1
commands/lesson/setup-vercel.md,34,16,12,0,0,4,2,0,D,,AskQuestion×16; OAuth×12; Install×4; Namespace×2
commands/lesson/setup-x-api.md,32,15,1,0,15,0,1,0,D,,AskQuestion×15; OAuth×1; Secret×15; Namespace×1
commands/lesson/start-1-1.md,17,17,0,0,0,0,0,0,D,,AskQuestion×17
commands/lesson/start-1-2.md,20,20,0,0,0,0,0,0,D,,AskQuestion×20
commands/lesson/start-1-3.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-10-1.md,25,23,2,0,0,0,0,0,D,,AskQuestion×23; OAuth×2
commands/lesson/start-10-2.md,28,23,5,0,0,0,0,0,D,,AskQuestion×23; OAuth×5
commands/lesson/start-10-3.md,27,26,1,0,0,0,0,0,D,,AskQuestion×26; OAuth×1
commands/lesson/start-11-1.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-11-2.md,24,23,1,0,0,0,0,0,D,,AskQuestion×23; OAuth×1
commands/lesson/start-12-1.md,32,16,14,0,0,2,0,0,D,,AskQuestion×16; OAuth×14; Install×2
commands/lesson/start-12-2.md,16,16,0,0,0,0,0,0,D,,AskQuestion×16
commands/lesson/start-12-3.md,16,16,0,0,0,0,0,0,D,,AskQuestion×16
commands/lesson/start-12-4.md,16,16,0,0,0,0,0,0,D,,AskQuestion×16
commands/lesson/start-12-5.md,16,16,0,0,0,0,0,0,D,,AskQuestion×16
commands/lesson/start-12-6.md,17,16,1,0,0,0,0,0,D,,AskQuestion×16; OAuth×1
commands/lesson/start-13-1.md,16,16,0,0,0,0,0,0,D,,AskQuestion×16
commands/lesson/start-13-2.md,15,14,1,0,0,0,0,0,D,,AskQuestion×14; OAuth×1
commands/lesson/start-13-3.md,16,16,0,0,0,0,0,0,D,,AskQuestion×16
commands/lesson/start-13-4.md,17,16,1,0,0,0,0,0,D,,AskQuestion×16; OAuth×1
commands/lesson/start-13-5.md,26,14,12,0,0,0,0,0,D,,AskQuestion×14; OAuth×12
commands/lesson/start-14-4.md,14,14,0,0,0,0,0,0,D,,AskQuestion×14
commands/lesson/start-14-7.md,14,14,0,0,0,0,0,0,D,,AskQuestion×14
commands/lesson/start-15-1.md,27,26,0,0,0,1,0,0,D,,AskQuestion×26; Install×1
commands/lesson/start-15-6.md,16,16,0,0,0,0,0,0,D,,AskQuestion×16
commands/lesson/start-15-8.md,16,16,0,0,0,0,0,0,D,,AskQuestion×16
commands/lesson/start-15-9.md,16,16,0,0,0,0,0,0,D,,AskQuestion×16
commands/lesson/start-16-1.md,15,10,3,0,0,2,0,0,D,,AskQuestion×10; OAuth×3; Install×2
commands/lesson/start-17-1.md,17,17,0,0,0,0,0,0,D,,AskQuestion×17
commands/lesson/start-17-2.md,17,17,0,0,0,0,0,0,D,,AskQuestion×17
commands/lesson/start-17-3.md,17,17,0,0,0,0,0,0,D,,AskQuestion×17
commands/lesson/start-17-4.md,18,17,1,0,0,0,0,0,D,,AskQuestion×17; OAuth×1
commands/lesson/start-17-5.md,25,23,0,0,2,0,0,0,D,,AskQuestion×23; Secret×2
commands/lesson/start-18-1.md,14,14,0,0,0,0,0,0,D,,AskQuestion×14
commands/lesson/start-18-2.md,18,18,0,0,0,0,0,0,D,,AskQuestion×18
commands/lesson/start-18-3.md,18,18,0,0,0,0,0,0,D,,AskQuestion×18
commands/lesson/start-18-4.md,15,14,1,0,0,0,0,0,D,,AskQuestion×14; OAuth×1
commands/lesson/start-19-2.md,24,23,1,0,0,0,0,0,D,,AskQuestion×23; OAuth×1
commands/lesson/start-2-1.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-2-2.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-2-3.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-3-1.md,17,17,0,0,0,0,0,0,D,,AskQuestion×17
