customer_id,age,gender,region,member_rank,registration_date
C0001,33,女性,大阪,シルバー,2024-06-24
C0002,54,男性,名古屋,シルバー,2024-10-03
C0003,60,男性,仙台,ゴールド,2024-02-27
C0004,34,男性,仙台,シルバー,2024-03-08
C0005,33,女性,福岡,シルバー,2025-02-09
C0006,61,女性,名古屋,ブロンズ,2024-09-09
C0007,55,女性,広島,ゴールド,2025-02-12
C0008,43,男性,名古屋,シルバー,2024-04-03
C0009,23,男性,名古屋,シルバー,2025-11-27
C0010,47,男性,広島,ブロンズ,2025-04-24
C0011,53,女性,東京,シルバー,2024-04-27
C0012,63,女性,仙台,ブロンズ,2025-03-21
C0013,30,女性,東京,プラチナ,2024-09-26
C0014,52,男性,大阪,ゴールド,2024-11-01
C0015,60,男性,名古屋,ブロンズ,2024-06-14
C0016,54,男性,仙台,シルバー,2024-04-24
C0017,43,女性,福岡,ブロンズ,2025-08-03
C0018,25,男性,横浜,ゴールド,2025-06-29
C0019,28,男性,横浜,プラチナ,2024-06-18
C0020,36,女性,福岡,プラチナ,2024-07-24
C0021,65,女性,広島,プラチナ,2025-10-27
C0022,43,女性,横浜,ブロンズ,2024-08-18
C0023,24,女性,東京,シルバー,2024-08-23
C0024,57,男性,東京,ブロンズ,2025-10-08
C0025,23,男性,大阪,プラチナ,2024-12-04
C0026,24,男性,札幌,シルバー,2024-08-07
C0027,54,男性,横浜,ブロンズ,2025-04-29
C0028,46,男性,大阪,ブロンズ,2025-03-17
C0029,42,女性,広島,シルバー,2024-02-25
C0030,63,男性,東京,シルバー,2024-12-13
C0031,26,男性,福岡,ブロンズ,2025-04-04
C0032,28,女性,名古屋,ブロンズ,2024-09-12
C0033,24,女性,大阪,ブロンズ,2025-07-07
C0034,20,男性,福岡,ブロンズ,2025-05-12
C0035,50,男性,広島,プラチナ,2024-06-17
C0036,44,男性,広島,ブロンズ,2025-04-10
C0037,38,女性,横浜,ブロンズ,2024-10-30
C0038,33,男性,東京,ゴールド,2024-02-28
C0039,23,女性,名古屋,ブロンズ,2025-06-04
C0040,25,男性,大阪,シルバー,2025-11-22
C0041,35,女性,大阪,プラチナ,2025-08-06
C0042,35,男性,大阪,シルバー,2025-08-20
C0043,56,女性,札幌,ブロンズ,2024-11-17
C0044,35,女性,広島,ブロンズ,2025-10-22
C0045,39,女性,仙台,プラチナ,2024-03-15
C0046,20,女性,大阪,ブロンズ,2024-08-06
C0047,52,女性,名古屋,プラチナ,2024-03-11
C0048,35,女性,札幌,ブロンズ,2025-07-10
C0049,65,女性,東京,シルバー,2025-07-21
C0050,39,男性,名古屋,ブロンズ,2024-04-19
C0051,55,男性,札幌,ブロンズ,2024-08-03
C0052,65,女性,福岡,シルバー,2024-09-27
C0053,52,女性,札幌,プラチナ,2024-02-22
C0054,25,女性,札幌,ブロンズ,2024-12-07
C0055,28,女性,名古屋,ゴールド,2025-07-18
C0056,65,女性,東京,ブロンズ,2024-06-01
C0057,54,男性,仙台,シルバー,2024-05-31
C0058,47,男性,東京,ブロンズ,2024-02-10
C0059,42,男性,福岡,シルバー,2024-12-28
C0060,55,女性,名古屋,プラチナ,2024-08-30
C0061,30,男性,広島,ブロンズ,2024-12-06
C0062,46,男性,札幌,ブロンズ,2024-04-20
C0063,44,男性,横浜,ブロンズ,2025-04-16
C0064,42,女性,福岡,ブロンズ,2025-11-06
C0065,32,女性,仙台,ブロンズ,2024-03-12
C0066,37,女性,広島,シルバー,2025-07-03
C0067,41,男性,大阪,ゴールド,2024-09-24
C0068,31,女性,東京,ブロンズ,2025-03-20
C0069,42,女性,広島,シルバー,2025-06-07
C0070,27,女性,福岡,ブロンズ,2025-03-22
C0071,20,男性,仙台,シルバー,2025-11-11
C0072,41,女性,大阪,ゴールド,2024-11-03
C0073,52,女性,広島,ブロンズ,2024-10-29
C0074,55,男性,福岡,シルバー,2025-01-23
C0075,63,男性,札幌,シルバー,2024-01-01
C0076,39,女性,福岡,シルバー,2025-08-16
C0077,58,女性,横浜,シルバー,2025-11-22
C0078,33,女性,名古屋,シルバー,2024-10-17
C0079,52,女性,大阪,ゴールド,2024-08-28
C0080,63,女性,福岡,ゴールド,2024-05-30
C0081,21,男性,福岡,プラチナ,2025-09-17
C0082,24,女性,広島,ゴールド,2025-08-12
C0083,32,女性,横浜,ブロンズ,2024-05-31
C0084,61,男性,大阪,ゴールド,2024-08-12
C0085,31,女性,東京,シルバー,2024-05-04
C0086,49,男性,横浜,シルバー,2025-07-26
C0087,58,女性,横浜,シルバー,2025-05-31
C0088,47,女性,名古屋,ゴールド,2025-05-01
C0089,48,女性,福岡,ゴールド,2024-10-10
C0090,53,女性,福岡,ブロンズ,2024-03-20
C0091,65,女性,福岡,ブロンズ,2024-11-23
C0092,54,男性,名古屋,ブロンズ,2025-01-27
C0093,64,男性,福岡,ブロンズ,2025-02-21
C0094,41,女性,広島,ブロンズ,2025-03-06
C0095,44,男性,広島,シルバー,2024-12-26
C0096,39,女性,広島,シルバー,2025-07-13
C0097,58,男性,横浜,ブロンズ,2025-03-22
C0098,51,男性,広島,ブロンズ,2025-11-26
C0099,45,男性,横浜,プラチナ,2025-09-29
C0100,54,男性,広島,シルバー,2025-11-09
C0101,21,男性,広島,ブロンズ,2025-04-17
C0102,31,男性,札幌,ブロンズ,2024-08-04
C0103,49,女性,仙台,ゴールド,2025-01-23
C0104,37,女性,札幌,ゴールド,2025-04-26
C0105,21,男性,仙台,ブロンズ,2024-03-11
C0106,61,男性,東京,プラチナ,2024-07-23
C0107,21,男性,福岡,ブロンズ,2025-11-16
C0108,27,男性,横浜,シルバー,2025-01-12
C0109,30,男性,名古屋,プラチナ,2024-04-20
C0110,57,男性,札幌,シルバー,2025-01-19
C0111,45,男性,大阪,シルバー,2025-10-04
C0112,35,男性,札幌,ゴールド,2025-09-06
C0113,27,男性,仙台,シルバー,2025-11-08
C0114,43,男性,仙台,ブロンズ,2025-03-06
C0115,51,男性,広島,プラチナ,2025-10-12
C0116,49,男性,広島,ブロンズ,2025-06-18
C0117,61,女性,横浜,シルバー,2025-08-29
C0118,37,女性,福岡,ゴールド,2024-03-29
C0119,37,女性,福岡,ゴールド,2025-08-06
C0120,59,女性,仙台,ブロンズ,2024-11-28
C0121,31,女性,福岡,ブロンズ,2024-09-21
C0122,41,女性,札幌,シルバー,2025-06-13
C0123,32,男性,福岡,ゴールド,2025-05-15
C0124,55,男性,横浜,シルバー,2025-05-17
C0125,48,男性,大阪,ブロンズ,2025-02-18
C0126,64,男性,札幌,シルバー,2025-01-12
C0127,50,女性,広島,プラチナ,2025-07-17
C0128,41,女性,横浜,ブロンズ,2024-09-14
C0129,34,男性,福岡,ブロンズ,2025-07-02
C0130,64,男性,福岡,ブロンズ,2025-05-10
C0131,37,女性,大阪,ゴールド,2024-10-30
C0132,34,女性,名古屋,ブロンズ,2025-06-30
C0133,28,女性,東京,プラチナ,2025-07-20
C0134,38,男性,横浜,ブロンズ,2024-01-13
C0135,56,女性,横浜,シルバー,2024-12-14
C0136,31,男性,札幌,プラチナ,2025-05-04
C0137,27,男性,広島,シルバー,2025-08-13
C0138,60,男性,名古屋,ブロンズ,2025-07-30
C0139,39,男性,福岡,ブロンズ,2025-03-02
C0140,58,男性,広島,シルバー,2025-03-29
C0141,39,女性,札幌,シルバー,2024-03-02
C0142,59,男性,福岡,シルバー,2024-09-27
C0143,62,男性,名古屋,ブロンズ,2025-07-19
C0144,24,男性,東京,シルバー,2025-08-31
C0145,50,女性,東京,ブロンズ,2024-10-16
C0146,64,女性,大阪,シルバー,2024-09-27
C0147,60,男性,広島,ブロンズ,2024-08-18
C0148,61,男性,札幌,ゴールド,2024-03-14
C0149,23,男性,札幌,シルバー,2025-08-05
C0150,38,女性,大阪,シルバー,2024-11-07
C0151,64,女性,札幌,シルバー,2025-05-20
C0152,48,男性,東京,ゴールド,2024-11-26
C0153,58,女性,東京,ブロンズ,2025-11-21
C0154,56,男性,札幌,シルバー,2024-06-28
C0155,50,女性,札幌,ブロンズ,2025-08-22
C0156,47,女性,大阪,シルバー,2025-02-22
C0157,41,女性,大阪,ゴールド,2024-12-03
